subject,roi,side,intersection,union,id_vol,truth_vol
sub-C002,ZI,L,495,864,700,659
sub-C002,ZI,R,456,838,658,636
sub-C002,rZI,L,293,560,430,423
sub-C002,rZI,R,257,532,389,400
sub-C002,cZI,L,204,319,280,243
sub-C002,cZI,R,186,310,272,224
sub-C002,fct,L,344,592,520,416
sub-C002,fct,R,335,511,457,389
sub-C002,fl,L,104,204,170,138
sub-C002,fl,R,101,216,186,131
sub-C002,ft,L,172,294,253,213
sub-C002,ft,R,167,278,238,207
sub-C002,hfields,L,321,531,453,399
sub-C002,hfields,R,318,532,457,393
sub-C002,hf,L,109,173,141,141
sub-C002,hf,R,117,185,154,148
sub-C002,ml,L,70,119,87,102
sub-C002,ml,R,58,87,68,77
sub-C007,ZI,L,419,750,524,645
sub-C007,ZI,R,387,697,470,614
sub-C007,rZI,L,215,449,285,379
sub-C007,rZI,R,229,442,285,386
sub-C007,cZI,L,201,303,240,264
sub-C007,cZI,R,149,251,180,220
sub-C007,fct,L,304,550,513,341
sub-C007,fct,R,286,499,480,305
sub-C007,fl,L,111,205,191,125
sub-C007,fl,R,100,199,174,125
sub-C007,ft,L,174,362,336,200
sub-C007,ft,R,179,382,365,196
sub-C007,hfields,L,326,591,546,371
sub-C007,hfields,R,348,637,607,378
sub-C007,hf,L,104,183,166,121
sub-C007,hf,R,125,235,225,135
sub-C007,ml,L,75,136,113,98
sub-C007,ml,R,65,125,106,84
sub-C009,ZI,L,483,769,603,649
sub-C009,ZI,R,493,781,604,670
sub-C009,rZI,L,284,485,364,405
sub-C009,rZI,R,300,501,374,427
sub-C009,cZI,L,197,287,241,243
sub-C009,cZI,R,180,274,219,235
sub-C009,fct,L,262,518,475,305
sub-C009,fct,R,258,468,397,329
sub-C009,fl,L,98,212,180,130
sub-C009,fl,R,85,166,130,121
sub-C009,ft,L,149,372,321,200
sub-C009,ft,R,135,339,280,194
sub-C009,hfields,L,294,575,489,380
sub-C009,hfields,R,276,560,469,367
sub-C009,hf,L,102,215,175,142
sub-C009,hf,R,106,200,175,131
sub-C009,ml,L,50,106,61,95
sub-C009,ml,R,46,92,70,68
sub-C019,ZI,L,421,776,503,694
sub-C019,ZI,R,383,747,443,687
sub-C019,rZI,L,267,523,326,464
sub-C019,rZI,R,260,518,305,473
sub-C019,cZI,L,150,256,174,232
sub-C019,cZI,R,119,218,135,202
sub-C019,fct,L,276,547,523,300
sub-C019,fct,R,315,586,566,335
sub-C019,fl,L,119,264,243,140
sub-C019,fl,R,114,323,294,143
sub-C019,ft,L,186,408,365,229
sub-C019,ft,R,217,432,403,246
sub-C019,hfields,L,345,683,610,418
sub-C019,hfields,R,390,712,655,447
sub-C019,hf,L,109,211,179,141
sub-C019,hf,R,138,266,247,157
sub-C019,ml,L,85,176,160,101
sub-C019,ml,R,76,147,138,85
sub-C029,ZI,L,440,794,558,676
sub-C029,ZI,R,336,681,410,607
sub-C029,rZI,L,250,504,325,429
sub-C029,rZI,R,220,477,275,422
sub-C029,cZI,L,192,299,238,253
sub-C029,cZI,R,109,196,131,174
sub-C029,fct,L,299,581,569,311
sub-C029,fct,R,300,605,596,309
sub-C029,fl,L,106,302,291,117
sub-C029,fl,R,109,275,260,124
sub-C029,ft,L,188,459,435,212
sub-C029,ft,R,194,465,459,200
sub-C029,hfields,L,337,701,651,387
sub-C029,hfields,R,354,708,681,381
sub-C029,hf,L,111,246,211,146
sub-C029,hf,R,123,225,215,133
sub-C029,ml,L,75,148,132,91
sub-C029,ml,R,73,163,158,78
